Chromosome,Start,End,Length,Mutations,P_value,Per_site_mutation_probability,Cluster_P_value_Threshold
chr_3_AM_1003_v1,131103,142456,11353,13,3.0333754676997714e-16,3.2799798231544213e-05,1e-05
chr_3_AM_1003_v1,303679,309573,5894,6,6.166830487204007e-08,3.2799798231544213e-05,1e-05
chr_13_AM_1003_v1,164342,165452,1110,3,7.869156180723958e-06,3.2799798231544213e-05,1e-05
chr_2_AM_1003_v1,1528,8239,6711,5,3.59440978099719e-06,3.2799798231544213e-05,1e-05
chr_9_AM_1003_v1,13,20545,20532,15,1.088236202026332e-15,3.2799798231544213e-05,1e-05
chr_9_AM_1003_v1,386205,386671,466,3,5.959655193685754e-07,3.2799798231544213e-05,1e-05
chr_6_AM_1003_v1,15177,16736,1559,49,1.8154089358732246e-126,3.2799798231544213e-05,1e-05
chr_10_AM_1003_v1,2279,2295,16,4,5.605264825394112e-15,3.2799798231544213e-05,1e-05
chr_10_AM_1003_v1,737109,737985,876,3,3.8957676454985436e-06,3.2799798231544213e-05,1e-05
chr_12_AM_1003_v1,652208,657925,5717,5,1.6574573662017344e-06,3.2799798231544213e-05,1e-05
chr_11_AM_1003_v1,665728,666262,534,3,8.938250427379537e-07,3.2799798231544213e-05,1e-05
chr_5_AM_1003_v1,32008,34106,2098,6,1.4043304175562568e-10,3.2799798231544213e-05,1e-05
chr_4_AM_1003_v1,17228,18006,778,18,3.9919178180257024e-45,3.2799798231544213e-05,1e-05
chr_4_AM_1003_v1,1502547,1502906,359,3,2.7424973342590235e-07,3.2799798231544213e-05,1e-05
chr_4_AM_1003_v1,1521207,1523166,1959,4,6.781498972908611e-07,3.2799798231544213e-05,1e-05
chr_1_AM_1003_v1,188370,193548,5178,8,1.4868270800003163e-11,3.2799798231544213e-05,1e-05
chr_14_AM_1003_v1,6309,16521,10212,9,1.0870949566472127e-10,3.2799798231544213e-05,1e-05
chr_16_AM_1003_v1,931555,932424,869,3,3.8039835781447895e-06,3.2799798231544213e-05,1e-05
