Chromosome,Start,End,Length,Mutations,P_value,Per_site_mutation_probability,Cluster_P_value_Threshold
chr_8_AM_1003_v1,8,8018,8010,6,0.0002832187767871149,0.00010825589971875829,0.001
chr_8_AM_1003_v1,521892,551707,29815,91,7.116651321946089e-96,0.00010825589971875829,0.001
chr_3_AM_1003_v1,413,26080,25667,247,0.0,0.00010825589971875829,0.001
chr_3_AM_1003_v1,161656,165980,4324,21,1.5773575698964108e-27,0.00010825589971875829,0.001
chr_3_AM_1003_v1,190710,193045,2335,6,2.9451964789734634e-07,0.00010825589971875829,0.001
chr_3_AM_1003_v1,288559,304547,15988,20,4.677123508158978e-15,0.00010825589971875829,0.001
chr_13_AM_1003_v1,587555,588529,974,7,2.6980823211592025e-11,0.00010825589971875829,0.001
chr_13_AM_1003_v1,908003,908044,41,7,1.277978811202226e-20,0.00010825589971875829,0.001
chr_2_AM_1003_v1,5984,7948,1964,16,7.311037686816923e-25,0.00010825589971875829,0.001
chr_2_AM_1003_v1,412293,412500,207,32,6.884062384600774e-88,0.00010825589971875829,0.001
chr_2_AM_1003_v1,470561,473358,2797,4,0.00027621780418408726,0.00010825589971875829,0.001
chr_2_AM_1003_v1,801429,812890,11461,30,7.6386670297041765e-31,0.00010825589971875829,0.001
chr_9_AM_1003_v1,318,384,66,5,1.9243324182442577e-13,0.00010825589971875829,0.001
chr_9_AM_1003_v1,19563,21451,1888,5,2.5277966080527576e-06,0.00010825589971875829,0.001
chr_9_AM_1003_v1,33066,34803,1737,67,1.9712800977409105e-143,0.00010825589971875829,0.001
chr_9_AM_1003_v1,132781,142757,9976,8,1.7742599987757953e-05,0.00010825589971875829,0.001
chr_9_AM_1003_v1,385694,394385,8691,9,6.8873750329643e-07,0.00010825589971875829,0.001
chr_9_AM_1003_v1,433144,433322,178,3,1.2154408904825463e-06,0.00010825589971875829,0.001
chr_6_AM_1003_v1,7357,29908,22551,152,9.33801506923597e-210,0.00010825589971875829,0.001
chr_6_AM_1003_v1,92403,92590,187,10,4.174305023115153e-24,0.00010825589971875829,0.001
chr_10_AM_1003_v1,192,742,550,4,5.084564030165641e-07,0.00010825589971875829,0.001
chr_10_AM_1003_v1,703102,708867,5765,36,6.99668738475604e-50,0.00010825589971875829,0.001
chr_10_AM_1003_v1,721638,722802,1164,4,9.581721987409386e-06,0.00010825589971875829,0.001
chr_10_AM_1003_v1,736503,738631,2128,11,2.0290755067566992e-15,0.00010825589971875829,0.001
chr_7_AM_1003_v1,1061238,1065304,4066,39,4.877865752554909e-61,0.00010825589971875829,0.001
chr_7_AM_1003_v1,1078574,1079471,897,14,7.80222335784572e-26,0.00010825589971875829,0.001
chr_15_AM_1003_v1,28945,30958,2013,6,1.2473843959994538e-07,0.00010825589971875829,0.001
chr_12_AM_1003_v1,84329,84335,6,3,1.0651786045984078e-10,0.00010825589971875829,0.001
chr_12_AM_1003_v1,252826,252850,24,4,2.8062574880262807e-12,0.00010825589971875829,0.001
chr_12_AM_1003_v1,1062175,1063078,903,27,6.852054666881398e-56,0.00010825589971875829,0.001
chr_11_AM_1003_v1,91,1577,1486,15,8.913005334464826e-25,0.00010825589971875829,0.001
chr_11_AM_1003_v1,63901,64097,196,10,6.5869589689663646e-24,0.00010825589971875829,0.001
chr_5_AM_1003_v1,31455,34172,2717,4,0.0002476648671379211,0.00010825589971875829,0.001
chr_5_AM_1003_v1,115999,117023,1024,10,7.366292710053319e-17,0.00010825589971875829,0.001
chr_5_AM_1003_v1,175596,175713,117,6,6.765857663343595e-15,0.00010825589971875829,0.001
chr_4_AM_1003_v1,2228,2621,393,6,8.374904943589914e-12,0.00010825589971875829,0.001
chr_4_AM_1003_v1,15938,17772,1834,18,3.2633446962264117e-29,0.00010825589971875829,0.001
chr_4_AM_1003_v1,204320,204512,192,8,1.020311850410008e-18,0.00010825589971875829,0.001
chr_1_AM_1003_v1,1913,16695,14782,31,5.708234005034167e-29,0.00010825589971875829,0.001
chr_1_AM_1003_v1,188212,212060,23848,47,7.413757159967474e-42,0.00010825589971875829,0.001
chr_14_AM_1003_v1,6652,16609,9957,25,1.542508334117736e-25,0.00010825589971875829,0.001
chr_14_AM_1003_v1,252912,254641,1729,3,0.0009537039069433748,0.00010825589971875829,0.001
chr_14_AM_1003_v1,282442,282457,15,4,5.316500684719286e-13,0.00010825589971875829,0.001
chr_14_AM_1003_v1,762984,765071,2087,27,3.191721084527585e-46,0.00010825589971875829,0.001
chr_14_AM_1003_v1,778837,781430,2593,28,1.0399986082198193e-45,0.00010825589971875829,0.001
chr_16_AM_1003_v1,931607,932300,693,67,2.6712012918061203e-169,0.00010825589971875829,0.001
